model_family,architecture,seed,lambda_shortfall,T,rho_scale,split,model_name,n,rmse_vs_realised,rmse_vs_true,mae_vs_true,bias_vs_true,mean_regret,median_regret,mean_regret_vs_bayes,mean_regret_irreducible,mean_utility,shortfall_bind_share
dfl,linear,45,10.0,300,0.03,main,dfl_linear,90,0.003402310872773,0.0033110905762911,0.0027207721460362,0.002697212965024,0.0130804367691495,0.0121990039613968,0.0126035160062229,0.0004769207629266,1.08574907090695,0.0111111111111111
dfl,mlp,45,10.0,300,0.03,main,dfl_mlp,90,0.0033627100914418,0.0032329437892721,0.0030058363029453,0.002814355137813,0.028637547629011,0.0161314197076192,0.0281606268660843,0.0004769207629266,1.0701919600470886,0.0777777777777777
dfl,mlp,46,10.0,500,0.1,main,dfl_mlp,150,0.0035219788224556,0.003229657901741,0.0029535887877636,0.0028901589767777,0.0197114063174751,0.0168285938568651,0.0185893258938036,0.0011220804236715,1.0817416043846948,0.0266666666666666
pto,linear,46,10.0,500,0.25,main,linear,150,0.0022624807839956,0.0011404688518705,0.0007809394805727,0.0001124636217721,0.08372430533269,0.0073963547196891,0.0815362401600379,0.0021880651726521,1.0178750110483483,0.24
pto,mlp,46,10.0,500,0.25,main,mlp,150,0.0022725821078475,0.0011768107340064,0.0007816045782633,0.0001484846964403,0.0841917109089004,0.0067259360322943,0.0820036457362483,0.0021880651726521,1.0174076054721382,0.1933333333333333
pto,persistence,46,10.0,500,0.25,main,persistence,150,0.0029446302207431,0.0022388529730031,0.0015192302467025,-4.314862494005656e-05,0.7318352515085109,0.1362317248427326,0.729647186335859,0.0021880651726521,0.3697640648725275,0.5333333333333333
pto,persistence_ma4,46,10.0,500,0.25,main,persistence_ma4,150,0.0025513325282859,0.0017183471844379,0.0011365070162262,9.775327589663796e-05,0.2876735779277696,0.0136527324293141,0.2854855127551174,0.0021880651726521,0.813925738453269,0.4133333333333333
pto,linear,45,10.0,1000,0.03,main,linear,300,0.0019071203795896,0.0016265895592297,0.0011469791712465,-0.0003767130387759,0.2206106545081042,0.0093270790991992,0.220025688219454,0.0005849662886501,0.8675756754837445,0.47
blackbox,linear,46,10.0,500,0.25,main,blackbox_linear,150,,,,,0.0288813545230783,0.0165627940895563,0.0266932893504262,0.0021880651726521,1.07271796185796,0.0333333333333333
blackbox,mlp,46,10.0,500,0.25,main,blackbox_mlp,150,,,,,0.0211736039644887,0.017242939052525,0.0189855387918366,0.0021880651726521,1.0804257124165495,0.0133333333333333
pto,mlp,45,10.0,1000,0.03,main,mlp,300,0.0016338924586031,0.001353448674626,0.0009763872816089,-0.0002268573598748,0.1722029829586769,0.008549062793639,0.1716180166700267,0.0005849662886501,0.9159833470331716,0.4533333333333333
pto,persistence,45,10.0,1000,0.03,main,persistence,300,0.0019901169174689,0.0016351023283311,0.0011404184883702,-4.2565868134664155e-05,0.2068952366245869,0.0102309954614708,0.2063102703359367,0.0005849662886501,0.8812910933672615,0.4866666666666667
pto,persistence_ma4,45,10.0,1000,0.03,main,persistence_ma4,300,0.0019811827819408,0.0017211861178475,0.0013054571216033,-3.853221479746156e-05,0.2191383577896364,0.0113921447603644,0.2185533915009862,0.0005849662886501,0.8690479722022121,0.4633333333333333
dfl,linear,46,10.0,500,0.25,main,dfl_linear,150,0.0040930020309846,0.0032923422434108,0.0025807194266928,0.0025105065101527,0.0197293180674945,0.014234980384078,0.0175412528948424,0.0021880651726521,1.0818699983135442,0.0333333333333333
blackbox,linear,45,10.0,1000,0.03,main,blackbox_linear,300,,,,,0.0156564668478865,0.0107309117706326,0.0150715005592363,0.0005849662886501,1.072529863143962,0.0266666666666666
blackbox,mlp,45,10.0,1000,0.03,main,blackbox_mlp,300,,,,,0.0125900553016496,0.0100998402726041,0.0120050890129995,0.0005849662886501,1.0755962746901988,0.02
dfl,mlp,46,10.0,500,0.25,main,dfl_mlp,150,0.0038234026832347,0.0031882037686389,0.0029859707260235,0.0029066401026602,0.0195464863158264,0.0186873677427172,0.0173584211431743,0.0021880651726521,1.082052830065212,0.0133333333333333
pto,linear,46,10.0,500,0.5,main,linear,150,0.0031295855113077,0.0011542960231522,0.0007915472163698,0.0001201163897836,0.0630250855618934,0.0074230051425981,0.0591866121299309,0.0038384734319624,1.0387742497190025,0.1733333333333333
pto,mlp,46,10.0,500,0.5,main,mlp,150,0.0031214158449434,0.0011932796880909,0.0008006639772368,0.0001761854867996,0.0625046689302269,0.0074017595152727,0.0586661954982645,0.0038384734319624,1.0392946663506692,0.1333333333333333
pto,persistence,46,10.0,500,0.5,main,persistence,150,0.0042202582630092,0.0031284808388408,0.0020445986416657,-9.898699162201014e-05,1.199742263467824,0.4468697776734927,1.1959037900358611,0.0038384734319624,-0.0979429281869279,0.6133333333333333
pto,persistence_ma4,46,10.0,500,0.5,main,persistence_ma4,150,0.0035566268624296,0.0021261042488766,0.0014367565628518,6.446950104552424e-05,0.4420794115653859,0.0201330592080491,0.4382409381334234,0.0038384734319624,0.6597199237155102,0.4666666666666667
blackbox,linear,46,10.0,500,0.5,main,blackbox_linear,150,,,,,0.0286045595680345,0.0164741081436281,0.024766086136072,0.0038384734319624,1.0731947757128617,0.0333333333333333
